"Time","vMon,GE11-M-01L1:HV:DRIFT"
2024-03-18 16:04:43,675 V
2024-03-18 17:05:04,675 V
2024-03-18 17:37:56,686 V
2024-03-18 17:37:57,692 V
2024-03-18 17:37:58,698 V
2024-03-18 17:37:59,704 V
2024-03-18 17:38:00,709 V
2024-03-18 17:38:01,715 V
2024-03-18 17:38:02,721 V
2024-03-18 17:38:02,727 V
2024-03-18 17:38:03,732 V
2024-03-18 17:38:04,738 V
2024-03-18 17:38:05,744 V
2024-03-18 17:38:06,750 V
2024-03-18 17:38:07,755 V
2024-03-18 17:38:08,761 V
2024-03-18 17:38:09,765 V
2024-03-18 19:42:19,765 V
2024-03-18 20:37:59,743 V
2024-03-18 20:38:00,726 V
2024-03-18 20:38:01,706 V
2024-03-18 20:38:02,687 V
2024-03-18 20:38:03,676 V
2024-03-18 22:03:31,675 V
2024-03-18 23:06:26,675 V
2024-03-18 23:19:23,678 V
2024-03-18 23:19:24,686 V
2024-03-18 23:19:24,692 V
2024-03-18 23:19:25,698 V
2024-03-18 23:19:26,703 V
2024-03-18 23:19:27,709 V
2024-03-18 23:19:28,715 V
2024-03-18 23:19:29,721 V
2024-03-18 23:19:30,726 V
2024-03-18 23:19:31,732 V
2024-03-18 23:19:32,738 V
2024-03-18 23:19:33,744 V
2024-03-18 23:19:34,750 V
2024-03-18 23:19:35,756 V
2024-03-18 23:19:36,761 V
2024-03-18 23:19:37,765 V
2024-03-19 01:58:48,765 V
2024-03-19 01:59:48,750 V
2024-03-19 01:59:49,730 V
2024-03-19 01:59:50,711 V
2024-03-19 01:59:51,691 V
2024-03-19 01:59:52,676 V
2024-03-19 02:00:59,675 V
2024-03-19 03:15:12,675 V
2024-03-19 04:42:15,675 V
2024-03-19 06:09:58,675 V
2024-03-19 09:33:09,675 V
2024-03-19 13:00:45,677 V
2024-03-19 13:00:46,682 V
2024-03-19 13:00:47,687 V
2024-03-19 13:00:48,694 V
2024-03-19 13:00:48,699 V
2024-03-19 13:00:49,705 V
2024-03-19 13:00:50,711 V
2024-03-19 13:00:51,717 V
2024-03-19 13:00:52,722 V
2024-03-19 13:00:53,728 V
2024-03-19 13:00:54,734 V
2024-03-19 13:00:55,740 V
2024-03-19 13:00:56,746 V
2024-03-19 13:00:57,751 V
2024-03-19 13:00:58,757 V
2024-03-19 13:00:59,763 V
2024-03-19 13:01:00,765 V
2024-03-19 14:26:05,765 V
2024-03-19 14:26:22,751 V
2024-03-19 14:26:23,731 V
2024-03-19 14:26:24,714 V
2024-03-19 14:26:25,694 V
2024-03-19 14:26:26,677 V
2024-03-19 14:26:27,676 V
2024-03-19 15:36:12,679 V
2024-03-19 15:36:13,682 V
2024-03-19 15:36:14,691 V
2024-03-19 15:36:15,696 V
2024-03-19 15:36:16,703 V
2024-03-19 15:36:17,708 V
2024-03-19 15:36:18,714 V
2024-03-19 15:36:19,720 V
2024-03-19 15:36:19,725 V
2024-03-19 15:36:20,731 V
2024-03-19 15:36:21,737 V
2024-03-19 15:36:22,743 V
2024-03-19 15:36:23,748 V
2024-03-19 15:36:24,755 V
2024-03-19 15:36:25,760 V
2024-03-19 15:36:26,765 V
2024-03-19 17:03:43,765 V
2024-03-19 17:04:00,751 V
2024-03-19 17:04:01,731 V
2024-03-19 17:04:02,714 V
2024-03-19 17:04:03,695 V
2024-03-19 17:04:04,677 V
2024-03-19 17:04:05,676 V
2024-03-19 18:14:25,675 V